unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1742900400,2025-03-25 11:00:00,BTC/USD,87141,87496,87071,87378,38.95113411,3403472.1962635797
1742896800,2025-03-25 10:00:00,BTC/USD,87233,87286,86980,87143,26.76628314,2332494.21166902
1742893200,2025-03-25 09:00:00,BTC/USD,86725,87344,86660,87238,50.74974682,4427306.41308316
1742889600,2025-03-25 08:00:00,BTC/USD,86441,86750,86415,86725,30.04967983,2606058.48325675
1742886000,2025-03-25 07:00:00,BTC/USD,86541,86830,86352,86441,42.42570861,3667320.67795701
1742882400,2025-03-25 06:00:00,BTC/USD,86686,86875,86547,86574,19.50163678,1688334.7025917198
1742878800,2025-03-25 05:00:00,BTC/USD,86553,86781,86420,86688,36.12451153,3131561.65551264
1742875200,2025-03-25 04:00:00,BTC/USD,86529,86659,86321,86563,27.58230318,2387606.91017034
1742871600,2025-03-25 03:00:00,BTC/USD,86873,86996,86366,86529,44.43929365,3845287.6402408504
1742868000,2025-03-25 02:00:00,BTC/USD,87069,87105,86864,86873,20.39193386,1771508.4702197802
1742864400,2025-03-25 01:00:00,BTC/USD,87620,87620,86836,87093,57.33111813,4993139.07129609
1742860800,2025-03-25 00:00:00,BTC/USD,87488,87681,87283,87623,35.69652526,3127836.63285698
1742857200,2025-03-24 23:00:00,BTC/USD,87474,87538,87103,87512,39.60579028,3465981.9189833603
1742853600,2025-03-24 22:00:00,BTC/USD,88139,88206,87347,87468,84.80234763,7417491.74250084
1742850000,2025-03-24 21:00:00,BTC/USD,87880,88293,87851,88139,66.81278949,5888812.45285911
1742846400,2025-03-24 20:00:00,BTC/USD,88273,88506,87851,87879,126.51641318,11118135.87384522
1742842800,2025-03-24 19:00:00,BTC/USD,88484,88519,88005,88274,196.88045311,17379425.11783214
1742839200,2025-03-24 18:00:00,BTC/USD,88465,88546,88151,88484,106.54404740,9427443.4901416
1742835600,2025-03-24 17:00:00,BTC/USD,88061,88477,87958,88456,18.03002910,1594864.2540696
